City_ID,City,Country,Max Temp,Current Description,Latitude,Longitude,Hotel Name
4,Port Alfred,ZA,18.43,overcast clouds,-33.5906,26.891,The Halyards Hotel
12,Hermanus,ZA,18.91,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
22,Ayní,TJ,15.2,clear sky,39.3941,68.5377,Меҳмонхона СУҒД
25,San Vicente,AR,17.39,moderate rain,-26.6167,-54.1333,Complejo Turístico Farelluk
27,Castro,BR,16.68,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
29,Nouadhibou,MR,17.41,overcast clouds,20.931,-17.0347,El Medina
33,New Norfolk,AU,15.77,moderate rain,-42.7826,147.0587,The Shingles Riverside Cottages
34,San Juan,AR,15.34,clear sky,-31.5375,-68.5364,Hotel Provincial
35,Cape Town,ZA,17.2,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
40,Ribeira Grande,PT,15.9,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
41,Ponta do Sol,PT,15.61,broken clouds,32.6667,-17.1,Hotel do Campo
44,Rocha,UY,17.19,scattered clouds,-34.4833,-54.3333,Hotel Arrarte
49,Tambura,SS,19.82,broken clouds,5.6,27.4667,Rikito Lodge
50,Bredasdorp,ZA,17.7,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
53,Hokitika,NZ,15.34,broken clouds,-42.7167,170.9667,Beachfront Hotel Hokitika
66,Najrān,SA,19.36,clear sky,17.4924,44.1277,محمد هادي ال فطيح
69,Esperance,AU,19.91,light rain,-33.8667,121.9,Hospitality Esperance
93,Port Elizabeth,ZA,19.06,clear sky,-33.918,25.5701,39 On Nile Guest House
101,San Quintín,MX,15.45,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
110,Zvishavane,ZW,16.49,broken clouds,-20.3267,30.0665,Hotel Boutique Runde
115,Miyako,JP,18.99,few clouds,39.6367,141.9525,Hotel Route Inn Miyako
129,Malmesbury,ZA,18.34,clear sky,-33.4608,18.7271,SuNel's Guest Rooms
