City_ID,City,Country,Date,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Klaksvík,FO,4/12/2022 3:20,62.2266,-6.589,5.51,79,100,11.7,overcast clouds
1,Rikitea,PF,4/12/2022 3:17,-23.1203,-134.9692,26.15,71,1,7.06,clear sky
2,Fortuna,US,4/12/2022 3:20,40.5982,-124.1573,6.62,83,100,6.69,overcast clouds
3,Kobryn,BY,4/12/2022 3:20,52.2138,24.3564,-0.31,85,24,2.67,few clouds
4,Port Alfred,ZA,4/12/2022 3:20,-33.5906,26.891,18.43,93,100,0.89,overcast clouds
5,Portland,US,4/12/2022 3:16,45.5234,-122.6762,4.91,86,100,1.12,overcast clouds
6,Kaitangata,NZ,4/12/2022 3:20,-46.2817,169.8464,13.88,50,66,4.93,broken clouds
7,Hilo,US,4/12/2022 3:18,19.7297,-155.09,22.34,96,100,2.68,mist
8,Chokurdakh,RU,4/12/2022 3:20,70.6333,147.9167,-11.77,87,100,4.77,overcast clouds
9,Mahébourg,MU,4/12/2022 3:20,-20.4081,57.7,25.16,83,75,6.17,broken clouds
10,Alofi,NU,4/12/2022 3:20,-19.0595,-169.9187,28.94,74,40,3.09,scattered clouds
11,Yellowknife,CA,4/12/2022 3:20,62.456,-114.3525,-11.71,56,20,4.63,few clouds
12,Hermanus,ZA,4/12/2022 3:20,-34.4187,19.2345,18.91,63,85,2.25,overcast clouds
13,Vaini,TO,4/12/2022 3:20,-21.2,-175.2,30.09,70,75,6.69,broken clouds
14,Nizhniy Ingash,RU,4/12/2022 3:20,56.2,96.53,-1.28,72,100,2.84,overcast clouds
15,Punta Arenas,CL,4/12/2022 3:15,-53.15,-70.9167,6.06,70,0,5.14,clear sky
16,Muros,ES,4/12/2022 3:20,42.7762,-9.0603,11.64,92,96,5.5,overcast clouds
17,Qaanaaq,GL,4/12/2022 3:20,77.484,-69.3632,-22.42,67,26,2.81,scattered clouds
18,Chifeng,CN,4/12/2022 3:20,42.2683,118.9636,9.43,19,35,5.6,scattered clouds
19,Samarai,PG,4/12/2022 3:20,-10.6167,150.6667,29.71,68,94,6.02,overcast clouds
20,Pangai,TO,4/12/2022 3:20,-19.8,-174.35,30.06,66,40,4.63,scattered clouds
21,Albany,US,4/12/2022 3:17,42.6001,-73.9662,9.65,58,95,1.68,overcast clouds
22,Ayní,TJ,4/12/2022 3:20,39.3941,68.5377,15.2,63,9,2.88,clear sky
23,Butaritari,KI,4/12/2022 3:20,3.0707,172.7902,27.4,74,73,4.15,broken clouds
24,Naze,JP,4/12/2022 3:20,28.3667,129.4833,23.51,81,16,3.46,few clouds
25,San Vicente,AR,4/12/2022 3:20,-26.6167,-54.1333,17.39,100,100,1.1,moderate rain
26,Provideniya,RU,4/12/2022 3:20,64.3833,-173.3,-1.94,86,100,10,light snow
27,Castro,BR,4/12/2022 3:20,-24.7911,-50.0119,16.68,98,72,1.52,broken clouds
28,Hong Kong,HK,4/12/2022 3:18,22.2855,114.1577,27.1,78,0,3.58,clear sky
29,Nouadhibou,MR,4/12/2022 3:20,20.931,-17.0347,17.41,87,98,10.64,overcast clouds
30,Mataura,NZ,4/12/2022 3:20,-46.1927,168.8643,13.04,53,57,3.59,broken clouds
31,Dikson,RU,4/12/2022 3:20,73.5069,80.5464,-9.94,91,100,10.39,light snow
32,Busselton,AU,4/12/2022 3:20,-33.65,115.3333,22.41,46,0,3.55,clear sky
33,New Norfolk,AU,4/12/2022 3:20,-42.7826,147.0587,15.77,51,76,2.24,moderate rain
34,San Juan,AR,4/12/2022 3:17,-31.5375,-68.5364,15.34,38,0,2.34,clear sky
35,Cape Town,ZA,4/12/2022 3:20,-33.9258,18.4232,17.2,67,0,2.57,clear sky
36,Bariloche,AR,4/12/2022 3:20,-41.1456,-71.3082,6.86,61,40,6.69,scattered clouds
37,Volary,CZ,4/12/2022 3:20,48.9088,13.8866,0.76,65,64,0.58,broken clouds
38,Narganá,PA,4/12/2022 3:20,9.4428,-78.5906,26.69,81,100,6.96,overcast clouds
39,Kavieng,PG,4/12/2022 3:20,-2.5744,150.7967,29.91,64,48,3.94,scattered clouds
40,Ribeira Grande,PT,4/12/2022 3:20,38.5167,-28.7,15.9,92,100,4.78,overcast clouds
41,Ponta do Sol,PT,4/12/2022 3:20,32.6667,-17.1,15.61,75,63,5.21,broken clouds
42,Nerchinskiy Zavod,RU,4/12/2022 3:20,51.3088,119.61,3.2,33,27,3.77,scattered clouds
43,Atuona,PF,4/12/2022 3:20,-9.8,-139.0333,26.22,78,46,6.32,scattered clouds
44,Rocha,UY,4/12/2022 3:20,-34.4833,-54.3333,17.19,96,34,3.45,scattered clouds
45,Saint-Philippe,RE,4/12/2022 3:20,-21.3585,55.7679,22.83,85,84,7.33,light rain
46,Airai,TL,4/12/2022 3:20,-8.9266,125.4092,25.5,35,13,0.65,few clouds
47,Cidreira,BR,4/12/2022 3:20,-30.1811,-50.2056,20.29,93,82,3.33,broken clouds
48,Bilma,NE,4/12/2022 3:20,18.6853,12.9164,27.68,7,0,2.8,clear sky
49,Tambura,SS,4/12/2022 3:20,5.6,27.4667,19.82,86,56,1.77,broken clouds
50,Bredasdorp,ZA,4/12/2022 3:20,-34.5322,20.0403,17.7,72,1,1.13,clear sky
51,Constitución,CL,4/12/2022 3:20,-35.3333,-72.4167,12.49,66,100,3.79,overcast clouds
52,Geraldton,AU,4/12/2022 3:19,-28.7667,114.6,21.23,60,0,6.69,clear sky
53,Hokitika,NZ,4/12/2022 3:20,-42.7167,170.9667,15.34,79,69,6.15,broken clouds
54,Emerald,AU,4/12/2022 3:20,-23.5333,148.1667,31.86,32,0,4.29,clear sky
55,Pevek,RU,4/12/2022 3:20,69.7008,170.3133,-21.14,85,5,3.15,clear sky
56,Melville,US,4/12/2022 3:18,40.7934,-73.4151,8.93,72,100,5.66,overcast clouds
57,Arlit,NE,4/12/2022 3:20,18.7369,7.3853,28.13,8,5,2.53,clear sky
58,Severo-Kuril'sk,RU,4/12/2022 3:20,50.6789,156.125,-0.2,79,32,3.17,scattered clouds
59,Puerto Ayora,EC,4/12/2022 3:20,-0.7393,-90.3518,25.31,95,75,0.89,broken clouds
60,Malatya Province,TR,4/12/2022 3:20,38.5,38,7.03,61,75,5.66,broken clouds
61,Umm Kaddadah,SD,4/12/2022 3:20,13.6017,26.6876,23.55,33,2,2.89,clear sky
62,Mar del Plata,AR,4/12/2022 3:20,-38.0023,-57.5575,12.8,90,0,3.58,clear sky
63,Ushuaia,AR,4/12/2022 3:15,-54.8,-68.3,4.81,75,0,1.54,clear sky
64,Talnakh,RU,4/12/2022 3:20,69.4865,88.3972,-7.66,83,100,5.13,overcast clouds
65,Kapaa,US,4/12/2022 3:20,22.0752,-159.319,25.01,83,40,6.17,scattered clouds
66,Najrān,SA,4/12/2022 3:20,17.4924,44.1277,19.36,29,0,2.64,clear sky
67,Cherskiy,RU,4/12/2022 3:20,68.75,161.3,-13,73,8,3.23,clear sky
68,Hasaki,JP,4/12/2022 3:20,35.7333,140.8333,24.22,75,0,7.41,clear sky
69,Esperance,AU,4/12/2022 3:20,-33.8667,121.9,19.91,80,75,7.42,light rain
70,George Town,MY,4/12/2022 3:19,5.4112,100.3354,30.97,70,20,2.06,few clouds
71,Saint-Joseph,RE,4/12/2022 3:20,-21.3667,55.6167,22.27,83,64,7.63,light rain
72,Lebu,CL,4/12/2022 3:20,-37.6167,-73.65,10.5,85,65,1.41,broken clouds
73,Chumikan,RU,4/12/2022 3:20,54.7183,135.315,-1.52,90,100,8.41,light snow
74,Bilibino,RU,4/12/2022 3:20,68.0546,166.4372,-16.78,70,41,1.3,scattered clouds
75,Kuytun,RU,4/12/2022 3:20,54.3419,101.5036,-1.34,57,100,3.87,overcast clouds
76,Avarua,CK,4/12/2022 3:20,-21.2078,-159.775,27.03,83,40,2.06,scattered clouds
77,Torbay,CA,4/12/2022 3:20,47.6666,-52.7314,1.25,91,100,13.89,light snow
